Filename,Frame,Size,ComputerSmall
AS070LV.avi,0,1556,0
AS070LV.avi,1,1603,0
AS070LV.avi,2,1546,0
AS070LV.avi,3,1475,0
AS070LV.avi,4,1393,0
AS070LV.avi,5,1290,0
AS070LV.avi,6,1149,0
AS070LV.avi,7,1087,0
AS070LV.avi,8,1017,0
AS070LV.avi,9,951,0
AS070LV.avi,10,911,0
AS070LV.avi,11,899,0
AS070LV.avi,12,910,0
AS070LV.avi,13,898,0
AS070LV.avi,14,886,1
AS070LV.avi,15,941,0
AS070LV.avi,16,1033,0
AS070LV.avi,17,1102,0
AS070LV.avi,18,1220,0
AS070LV.avi,19,1314,0
AS070LV.avi,20,1327,0
AS070LV.avi,21,1396,0
AS070LV.avi,22,1401,0
AS070LV.avi,23,1474,0
AS070LV.avi,24,1547,0
AS070LV.avi,25,1519,0
AS070LV.avi,26,1528,0
AS070LV.avi,27,1565,0
AS070LV.avi,28,1598,0
AS070LV.avi,29,1609,0
AS070LV.avi,30,1583,0
AS070LV.avi,31,1423,0
AS070LV.avi,32,1275,0
AS070LV.avi,33,1164,0
AS070LV.avi,34,1087,0
AS070LV.avi,35,1000,0
AS070LV.avi,36,939,0
AS070LV.avi,37,924,0
AS070LV.avi,38,916,0
AS070LV.avi,39,897,0
AS070LV.avi,40,887,1
AS070LV.avi,41,908,0
AS070LV.avi,42,996,0
AS070LV.avi,43,1047,0
AS070LV.avi,44,1151,0
AS070LV.avi,45,1209,0
AS070LV.avi,46,1321,0
AS070LV.avi,47,1332,0
AS070LV.avi,48,1365,0
AS070LV.avi,49,1387,0
AS070LV.avi,50,1465,0
AS070LV.avi,51,1663,0
AS070LV.avi,52,1667,0
AS070LV.avi,53,1623,0
AS070LV.avi,54,1606,0
AS070LV.avi,55,1535,0
AS070LV.avi,56,1511,0
AS070LV.avi,57,1435,0
AS070LV.avi,58,1332,0
AS070LV.avi,59,1209,0
AS070LV.avi,60,1093,0
AS070LV.avi,61,984,0
AS070LV.avi,62,967,0
AS070LV.avi,63,957,0
AS070LV.avi,64,892,0
AS070LV.avi,65,931,0
AS070LV.avi,66,913,0
AS070LV.avi,67,850,1
AS070LV.avi,68,925,0
AS070LV.avi,69,925,0
AS070LV.avi,70,932,0
AS070LV.avi,71,955,0
AS070LV.avi,72,1003,0
AS070LV.avi,73,1051,0
AS070LV.avi,74,1145,0
AS070LV.avi,75,1238,0
AS070LV.avi,76,1227,0
AS070LV.avi,77,1241,0
AS070LV.avi,78,1271,0
AS070LV.avi,79,1323,0
AS070LV.avi,80,1607,0
AS070LV.avi,81,1578,0
AS070LV.avi,82,1578,0
